Index,Timestamp,X,Y,Direction,s/e
1,2021-03-30T17:30:01.585,0,8,N,start
2,2021-03-30T17:30:29.427,0,8,N,end
3,2021-03-30T17:30:32.225,0,8,E,start
4,2021-03-30T17:31:03.384,0,8,E,end
5,2021-03-30T17:31:06.119,0,8,S,start
6,2021-03-30T17:31:34.570,0,8,S,end
7,2021-03-30T17:31:39.258,0,8,W,start
8,2021-03-30T17:32:07.615,0,8,W,end
9,2021-03-30T17:32:10.019,0,10,N,start
10,2021-03-30T17:32:37.862,0,10,N,end
11,2021-03-30T17:32:45.351,0,10,E,start
12,2021-03-30T17:33:13.667,0,10,E,end
13,2021-03-30T17:33:16.512,0,10,S,start
14,2021-03-30T17:33:43.488,0,10,S,end
15,2021-03-30T17:33:48.067,0,10,W,start
16,2021-03-30T17:34:16.315,0,10,W,end
17,2021-03-30T17:34:19.707,0,12,N,start
18,2021-03-30T17:34:47.882,0,12,N,end
19,2021-03-30T17:34:52.058,0,12,E,start
20,2021-03-30T17:35:20.044,0,12,E,end
21,2021-03-30T17:35:23.903,0,12,S,start
22,2021-03-30T17:35:51.925,0,12,S,end
23,2021-03-30T17:35:55.075,0,12,W,start
24,2021-03-30T17:36:23.745,0,12,W,end
1,2021-03-30T17:22:49.240,2,8,N,start
2,2021-03-30T17:23:16.849,2,8,N,end
3,2021-03-30T17:23:19.443,2,8,E,start
4,2021-03-30T17:23:46.821,2,8,E,end
5,2021-03-30T17:23:49.897,2,8,S,start
6,2021-03-30T17:24:18.523,2,8,S,end
7,2021-03-30T17:24:21.802,2,8,W,start
8,2021-03-30T17:24:50.076,2,8,W,end
9,2021-03-30T17:24:53.456,2,10,N,start
10,2021-03-30T17:25:21.175,2,10,N,end
11,2021-03-30T17:25:23.793,2,10,E,start
12,2021-03-30T17:25:51.813,2,10,E,end
13,2021-03-30T17:25:54.146,2,10,S,start
14,2021-03-30T17:26:23.157,2,10,S,end
15,2021-03-30T17:26:25.609,2,10,W,start
16,2021-03-30T17:26:53.402,2,10,W,end
17,2021-03-30T17:26:57.688,2,12,N,start
18,2021-03-30T17:27:26.050,2,12,N,end
19,2021-03-30T17:27:28.801,2,12,E,start
20,2021-03-30T17:27:57.066,2,12,E,end
21,2021-03-30T17:27:59.719,2,12,S,start
22,2021-03-30T17:28:27.874,2,12,S,end
23,2021-03-30T17:28:30.908,2,12,W,start
24,2021-03-30T17:28:59.228,2,12,W,end
1,2021-03-30T17:02:58.298,4,6,N,start
2,2021-03-30T17:03:25.791,4,6,N,end
3,2021-03-30T17:03:28.951,4,6,E,start
4,2021-03-30T17:03:58.813,4,6,E,end
5,2021-03-30T17:04:04.131,4,6,S,start
6,2021-03-30T17:04:33.350,4,6,S,end
7,2021-03-30T17:04:36.394,4,6,W,start
8,2021-03-30T17:05:04.031,4,6,W,end
9,2021-03-30T17:05:08.157,4,8,N,start
10,2021-03-30T17:05:35.960,4,8,N,end
11,2021-03-30T17:05:38.969,4,8,E,start
12,2021-03-30T17:06:06.871,4,8,E,end
13,2021-03-30T17:06:09.597,4,8,S,start
14,2021-03-30T17:06:37.049,4,8,S,end
15,2021-03-30T17:06:41.795,4,8,W,start
16,2021-03-30T17:07:10.446,4,8,W,end
17,2021-03-30T17:07:13.872,4,10,N,start
18,2021-03-30T17:07:41.650,4,10,N,end
19,2021-03-30T17:07:44.234,4,10,E,start
20,2021-03-30T17:08:13.736,4,10,E,end
21,2021-03-30T17:08:16.354,4,10,S,start
22,2021-03-30T17:08:44.367,4,10,S,end
23,2021-03-30T17:08:47.166,4,10,W,start
24,2021-03-30T17:09:14.520,4,10,W,end
25,2021-03-30T17:09:17.371,4,12,N,start
26,2021-03-30T17:09:44.480,4,12,N,end
27,2021-03-30T17:09:48.182,4,12,E,start
28,2021-03-30T17:10:16.218,4,12,E,end
29,2021-03-30T17:10:19.085,4,12,S,start
30,2021-03-30T17:10:48.931,4,12,S,end
31,2021-03-30T17:10:51.315,4,12,W,start
32,2021-03-30T17:11:19.159,4,12,W,end
1,2021-03-30T16:55:35.828,6,6,N,start
2,2021-03-30T16:56:03.346,6,6,N,end
3,2021-03-30T16:56:05.941,6,6,E,start
4,2021-03-30T16:56:34.363,6,6,E,end
5,2021-03-30T16:56:36.930,6,6,S,start
6,2021-03-30T16:57:04.515,6,6,S,end
7,2021-03-30T16:57:06.761,6,6,W,start
8,2021-03-30T16:57:34.815,6,6,W,end
9,2021-03-30T16:57:38.634,6,8,N,start
10,2021-03-30T16:58:06.345,6,8,N,end
11,2021-03-30T16:58:09.173,6,8,E,start
12,2021-03-30T16:58:36.854,6,8,E,end
13,2021-03-30T16:58:39.702,6,8,S,start
14,2021-03-30T16:59:08.015,6,8,S,end
15,2021-03-30T16:59:11.034,6,8,W,start
16,2021-03-30T16:59:38.448,6,8,W,end
17,2021-03-30T16:59:42.316,6,10,N,start
18,2021-03-30T17:00:10.307,6,10,N,end
19,2021-03-30T17:00:17.652,6,10,E,start
20,2021-03-30T17:00:49.508,6,10,E,end
21,2021-03-30T17:00:52.539,6,10,S,start
22,2021-03-30T17:01:20.435,6,10,S,end
23,2021-03-30T17:01:23.519,6,10,W,start
24,2021-03-30T17:01:51.289,6,10,W,end
1,2021-03-30T16:46:05.588,8,6,N,start
2,2021-03-30T16:46:33.632,8,6,N,end
3,2021-03-30T16:46:36.461,8,6,E,start
4,2021-03-30T16:47:04.741,8,6,E,end
5,2021-03-30T16:47:08.704,8,6,S,start
6,2021-03-30T16:47:37.782,8,6,S,end
7,2021-03-30T16:47:40.465,8,6,W,start
8,2021-03-30T16:48:08.417,8,6,W,end
9,2021-03-30T16:48:11.272,8,8,N,start
10,2021-03-30T16:48:39.151,8,8,N,end
11,2021-03-30T16:48:42.069,8,8,E,start
12,2021-03-30T16:49:09.923,8,8,E,end
13,2021-03-30T16:49:12.449,8,8,S,start
14,2021-03-30T16:49:40.427,8,8,S,end
15,2021-03-30T16:49:43.046,8,8,W,start
16,2021-03-30T16:50:11.128,8,8,W,end
17,2021-03-30T16:50:14.178,8,10,N,start
18,2021-03-30T16:50:42.024,8,10,N,end
19,2021-03-30T16:50:45.226,8,10,E,start
20,2021-03-30T16:51:13.214,8,10,E,end
21,2021-03-30T16:51:15.522,8,10,S,start
22,2021-03-30T16:51:44.169,8,10,S,end
